timestamp,error_count,request_count
2026-07-22T15:10:00Z,2,2030
2026-07-22T15:11:00Z,1,2067
2026-07-22T15:12:00Z,0,1924
2026-07-22T15:13:00Z,3,1961
2026-07-22T15:14:00Z,2,1998
2026-07-22T15:15:00Z,1,2035
2026-07-22T15:16:00Z,0,2072
2026-07-22T15:17:00Z,3,1929
2026-07-22T15:18:00Z,2,1966
2026-07-22T15:19:00Z,1,2003
2026-07-22T15:20:00Z,0,2040
2026-07-22T15:21:00Z,3,2077
2026-07-22T15:22:00Z,2,1934
2026-07-22T15:23:00Z,1,1971
2026-07-22T15:24:00Z,0,2008
2026-07-22T15:25:00Z,3,2045
2026-07-22T15:26:00Z,2,1902
2026-07-22T15:27:00Z,1,1939
2026-07-22T15:28:00Z,0,1976
2026-07-22T15:29:00Z,3,2013
2026-07-22T15:30:00Z,2,2050
2026-07-22T15:31:00Z,1,1907
2026-07-22T15:32:00Z,0,1944
2026-07-22T15:33:00Z,3,1981
2026-07-22T15:34:00Z,2,2018
2026-07-22T15:35:00Z,1,2055
2026-07-22T15:36:00Z,0,1912
2026-07-22T15:37:00Z,3,1949
2026-07-22T15:38:00Z,2,1986
2026-07-22T15:39:00Z,1,2023
2026-07-22T15:40:00Z,0,2060
2026-07-22T15:41:00Z,3,1917
2026-07-22T15:42:00Z,2,1954
2026-07-22T15:43:00Z,1,1991
2026-07-22T15:44:00Z,0,2028
2026-07-22T15:45:00Z,3,2065
2026-07-22T15:46:00Z,2,1922
2026-07-22T15:47:00Z,1,1959
2026-07-22T15:48:00Z,0,1996
2026-07-22T15:49:00Z,3,2033
2026-07-22T15:50:00Z,2,2070
2026-07-22T15:51:00Z,1,1927
2026-07-22T15:52:00Z,0,1964
2026-07-22T15:53:00Z,3,2001
2026-07-22T15:54:00Z,2,2038
2026-07-22T15:55:00Z,1,2075
2026-07-22T15:56:00Z,0,1932
2026-07-22T15:57:00Z,3,1969
2026-07-22T15:58:00Z,2,2006
2026-07-22T15:59:00Z,1,2043
